D_          0 ,QI_          0 ,QF_          0 ,D_          1 ,QI_          1 ,QF_          1 ,D_          2 ,QI_          2 ,QF_          2 ,D_          3 ,QI_          3 ,QF_          3 ,D_          4 ,QI_          4 ,QF_          4 ,D_          5 ,QI_          5 ,QF_          5 ,D_          6 ,QI_          6 ,QF_          6 ,D_          7 ,QI_          7 ,QF_          7
7630 , 1 ,15 ,eaa4 , 1 ,15 ,3d8c , 1 ,15 ,b522 , 1 ,15 ,1d3a , 1 ,15 ,0850 , 1 ,15 ,a8f6 , 2 ,14 ,54ee , 2 ,14 
7a8a , 1 ,15 ,63dc , 1 ,15 ,c334 , 1 ,15 ,e286 , 1 ,15 ,b222 , 1 ,15 ,50f8 , 2 ,14 ,436b , 2 ,14 ,9d4c , 2 ,14 
9261 , 2 ,14 ,434f , 3 ,13 ,f258 , 1 ,15 ,72d2 , 2 ,14 ,cd8e , 1 ,15 ,4589 , 2 ,14 ,d436 , 1 ,15 ,1816 , 1 ,15 
4a05 , 2 ,14 ,e636 , 1 ,15 ,b7dc , 2 ,14 ,4aea , 2 ,14 ,a2d3 , 2 ,14 ,156c , 1 ,15 ,16a2 , 1 ,15 ,8c3e , 2 ,14 
3c64 , 1 ,15 ,aaa6 , 1 ,15 ,ae57 , 2 ,14 ,09d8 , 1 ,15 ,7645 , 2 ,14 ,83f6 , 2 ,14 ,4fe1 , 2 ,14 ,724c , 2 ,14 
580a , 1 ,15 ,de80 , 1 ,15 ,abf6 , 1 ,15 ,62ca , 2 ,14 ,92e2 , 1 ,15 ,cb0c , 1 ,15 ,6f44 , 3 ,13 ,f4b6 , 1 ,15 
dab0 , 1 ,15 ,bc8f , 3 ,13 ,b5a6 , 1 ,15 ,b5be , 2 ,14 ,b92e , 1 ,15 ,81a0 , 1 ,15 ,16ee , 1 ,15 ,3d5a , 1 ,15 
78aa , 1 ,15 ,48af , 2 ,14 ,a524 , 1 ,15 ,7e30 , 1 ,15 ,2a16 , 1 ,15 ,37da , 1 ,15 ,bf41 , 3 ,13 ,9246 , 1 ,15 
050a , 1 ,15 ,6870 , 1 ,15 ,a1f2 , 1 ,15 ,48d8 , 2 ,14 ,39da , 1 ,15 ,ef50 , 1 ,15 ,a754 , 2 ,14 ,52e0 , 1 ,15 
f69a , 1 ,15 ,b7fb , 2 ,14 ,2d72 , 1 ,15 ,98ee , 2 ,14 ,7e34 , 2 ,14 ,70b2 , 2 ,14 ,0d84 , 1 ,15 ,abec , 2 ,14 
4220 , 1 ,15 ,7a5c , 1 ,15 ,b61b , 2 ,14 ,8cc5 , 2 ,14 ,55ca , 2 ,14 ,8782 , 1 ,15 ,4e0a , 2 ,14 ,5e6e , 2 ,14 
4762 , 1 ,15 ,4256 , 1 ,15 ,bccf , 2 ,14 ,7ebe , 2 ,14 ,bf5e , 2 ,14 ,e260 , 1 ,15 ,6bc2 , 1 ,15 ,a260 , 1 ,15 
6c4d , 2 ,14 ,eb16 , 1 ,15 ,06c0 , 1 ,15 ,bab9 , 2 ,14 ,acbf , 2 ,14 ,79d4 , 1 ,15 ,58f2 , 2 ,14 ,4aac , 2 ,14 
a95b , 2 ,14 ,4480 , 1 ,15 ,a35b , 2 ,14 ,1db0 , 1 ,15 ,1624 , 1 ,15 ,4d1f , 2 ,14 ,ea20 , 1 ,15 ,3a50 , 1 ,15 
3972 , 1 ,15 ,a6bd , 2 ,14 ,33c0 , 1 ,15 ,bdf4 , 1 ,15 ,b622 , 1 ,15 ,7ad1 , 2 ,14 ,2b8a , 1 ,15 ,ad45 , 3 ,13 
7450 , 2 ,14 ,9b71 , 2 ,14 ,1e3a , 1 ,15 ,b1e8 , 2 ,14 ,45fc , 3 ,13 ,1f98 , 1 ,15 ,304a , 1 ,15 ,5ad8 , 1 ,15 
beb1 , 2 ,14 ,4007 , 3 ,13 ,a51c , 1 ,15 ,b1ca , 2 ,14 ,61f4 , 1 ,15 ,bffe , 2 ,14 ,2c5a , 1 ,15 ,53ce , 2 ,14 
b1c6 , 3 ,13 ,d41a , 1 ,15 ,7608 , 1 ,15 ,7b70 , 1 ,15 ,fbf8 , 1 ,15 ,3462 , 1 ,15 ,2eee , 1 ,15 ,9933 , 2 ,14 
b49d , 2 ,14 ,a10e , 2 ,14 ,54f4 , 2 ,14 ,9e0e , 1 ,15 ,a66a , 2 ,14 ,d0e4 , 1 ,15 ,e6f8 , 1 ,15 ,be04 , 3 ,13 
d3d8 , 1 ,15 ,6a6c , 1 ,15 ,672e , 1 ,15 ,7bc6 , 1 ,15 ,be73 , 2 ,14 ,e188 , 1 ,15 ,2192 , 1 ,15 ,8af3 , 2 ,14 
a2fe , 1 ,15 ,40d4 , 2 ,14 ,5669 , 2 ,14 ,5ae6 , 1 ,15 ,90b8 , 1 ,15 ,c352 , 1 ,15 ,2aee , 1 ,15 ,e090 , 1 ,15 
a973 , 2 ,14 ,34e6 , 1 ,15 ,63a3 , 2 ,14 ,4561 , 3 ,13 ,f8ac , 1 ,15 ,5f96 , 1 ,15 ,cbe6 , 1 ,15 ,5c70 , 1 ,15 
709a , 1 ,15 ,c962 , 1 ,15 ,6972 , 2 ,14 ,4258 , 2 ,14 ,3c96 , 1 ,15 ,97c8 , 2 ,14 ,590e , 1 ,15 ,b623 , 3 ,13 
0d9c , 1 ,15 ,14a2 , 1 ,15 ,f882 , 1 ,15 ,81fe , 1 ,15 ,4a6e , 1 ,15 ,37ee , 1 ,15 ,c6d0 , 1 ,15 ,7620 , 1 ,15 
cd38 , 1 ,15 ,e0d8 , 1 ,15 ,f43a , 1 ,15 ,acbe , 1 ,15 ,5e99 , 2 ,14 ,bc4e , 2 ,14 ,9956 , 1 ,15 ,6fff , 2 ,14 
4cf3 , 2 ,14 ,8360 , 2 ,14 ,4e1c , 1 ,15 ,ac70 , 2 ,14 ,93b0 , 2 ,14 ,3efc , 1 ,15 ,a8be , 2 ,14 ,f53e , 1 ,15 
aa8b , 2 ,14 ,359a , 1 ,15 ,0bdc , 1 ,15 ,073c , 1 ,15 ,7d3a , 1 ,15 ,a6e0 , 1 ,15 ,633b , 2 ,14 ,8e16 , 1 ,15 
37f2 , 1 ,15 ,0d36 , 1 ,15 ,c868 , 1 ,15 ,cc02 , 1 ,15 ,50ef , 3 ,13 ,55a2 , 1 ,15 ,5ca0 , 1 ,15 ,0fd4 , 1 ,15 
e67a , 1 ,15 ,ef1a , 1 ,15 ,ae8c , 1 ,15 ,be62 , 1 ,15 ,f26c , 1 ,15 ,df26 , 1 ,15 ,524e , 2 ,14 ,4138 , 1 ,15 
c6a6 , 1 ,15 ,1d02 , 1 ,15 ,3162 , 1 ,15 ,b875 , 2 ,14 ,3618 , 1 ,15 ,f67c , 1 ,15 ,252e , 1 ,15 ,a778 , 1 ,15 
5694 , 1 ,15 ,f4ae , 1 ,15 ,e9e4 , 1 ,15 ,b8d8 , 1 ,15 ,1d6e , 1 ,15 ,fd66 , 1 ,15 ,d2f0 , 1 ,15 ,f392 , 1 ,15 
ce88 , 1 ,15 ,10a4 , 1 ,15 ,ade2 , 1 ,15 ,4473 , 2 ,14 ,2496 , 1 ,15 ,01d8 , 1 ,15 ,9d2e , 1 ,15 ,4055 , 2 ,14 
b26e , 1 ,15 ,c8da , 1 ,15 ,ce18 , 1 ,15 ,55fc , 1 ,15 ,4012 , 2 ,14 ,48c2 , 2 ,14 ,038e , 1 ,15 ,df38 , 1 ,15 
8438 , 1 ,15 ,0d8c , 1 ,15 ,9d41 , 2 ,14 ,184c , 1 ,15 ,f518 , 1 ,15 ,5882 , 3 ,13 ,8c8a , 1 ,15 ,b61e , 2 ,14 
127c , 1 ,15 ,51f8 , 2 ,14 ,1b70 , 1 ,15 ,4518 , 1 ,15 ,e35a , 1 ,15 ,488e , 3 ,13 ,b4b0 , 2 ,14 ,47a4 , 2 ,14 
bb94 , 2 ,14 ,2e3c , 1 ,15 ,0ca6 , 1 ,15 ,e48c , 1 ,15 ,ce1e , 1 ,15 ,1db6 , 1 ,15 ,4101 , 2 ,14 ,cf80 , 1 ,15 
3aba , 1 ,15 ,dde4 , 1 ,15 ,9f92 , 1 ,15 ,b602 , 2 ,14 ,b1bb , 2 ,14 ,32e8 , 1 ,15 ,06f8 , 1 ,15 ,5da9 , 2 ,14 
8a98 , 1 ,15 ,1e3e , 1 ,15 ,789a , 1 ,15 ,eaf2 , 1 ,15 ,532e , 1 ,15 ,3836 , 1 ,15 ,1fe0 , 1 ,15 ,a678 , 2 ,14 
8f0a , 1 ,15 ,08b6 , 1 ,15 ,b794 , 1 ,15 ,4a8c , 3 ,13 ,9474 , 1 ,15 ,ef12 , 1 ,15 ,592c , 2 ,14 ,9aa8 , 1 ,15 
1768 , 1 ,15 ,d234 , 1 ,15 ,4624 , 1 ,15 ,ee02 , 1 ,15 ,0f2e , 1 ,15 ,f438 , 1 ,15 ,a7f6 , 1 ,15 ,8d18 , 2 ,14 
31d6 , 1 ,15 ,e6c0 , 1 ,15 ,d07c , 1 ,15 ,f1b6 , 1 ,15 ,54d8 , 1 ,15 ,4f02 , 1 ,15 ,9220 , 1 ,15 ,b476 , 1 ,15 
fc40 , 1 ,15 ,1596 , 1 ,15 ,de0a , 1 ,15 ,ac1c , 2 ,14 ,10be , 1 ,15 ,dbc2 , 1 ,15 ,00b8 , 1 ,15 ,1880 , 1 ,15 
17d2 , 1 ,15 ,cbf2 , 1 ,15 ,8f6a , 1 ,15 ,16a6 , 1 ,15 ,2302 , 1 ,15 ,7074 , 1 ,15 ,2402 , 1 ,15 ,eeae , 1 ,15 
68d7 , 2 ,14 ,4222 , 3 ,13 ,4380 , 1 ,15 ,de60 , 1 ,15 ,5cbb , 2 ,14 ,491a , 2 ,14 ,6ab6 , 1 ,15 ,1dba , 1 ,15 
6071 , 2 ,14 ,5a52 , 1 ,15 ,db20 , 1 ,15 ,0804 , 1 ,15 ,2e26 , 1 ,15 ,b654 , 2 ,14 ,b11e , 2 ,14 ,60a6 , 1 ,15 
150e , 1 ,15 ,8952 , 1 ,15 ,af30 , 2 ,14 ,aeec , 1 ,15 ,445a , 1 ,15 ,251c , 1 ,15 ,b4c7 , 2 ,14 ,4480 , 1 ,15 
4b4d , 2 ,14 ,6e50 , 1 ,15 ,20cc , 1 ,15 ,36f0 , 1 ,15 ,20a4 , 1 ,15 ,1736 , 1 ,15 ,8238 , 1 ,15 ,8e92 , 1 ,15 
49c4 , 1 ,15 ,c31a , 1 ,15 ,214e , 1 ,15 ,86d6 , 1 ,15 ,3806 , 1 ,15 ,94b2 , 1 ,15 ,be21 , 2 ,14 ,a2be , 1 ,15 
ee0a , 1 ,15 ,64b6 , 1 ,15 ,327a , 1 ,15 ,1e80 , 1 ,15 ,b404 , 1 ,15 ,aaad , 2 ,14 ,61c0 , 1 ,15 ,511b , 2 ,14 
5e74 , 2 ,14 ,20aa , 1 ,15 ,a297 , 2 ,14 ,a53f , 2 ,14 ,b0da , 1 ,15 ,65cc , 2 ,14 ,7281 , 2 ,14 ,71be , 1 ,15 
04f2 , 1 ,15 ,ac8b , 2 ,14 ,d756 , 1 ,15 ,03ae , 1 ,15 ,ece2 , 1 ,15 ,78f0 , 1 ,15 ,5583 , 2 ,14 ,a923 , 2 ,14 
ada6 , 1 ,15 ,947a , 1 ,15 ,2422 , 1 ,15 ,6c07 , 2 ,14 ,5410 , 1 ,15 ,d9b0 , 1 ,15 ,ae9c , 1 ,15 ,db2c , 1 ,15 
18fa , 1 ,15 ,bfc4 , 2 ,14 ,c314 , 1 ,15 ,dd48 , 1 ,15 ,1cda , 1 ,15 ,3d9c , 1 ,15 ,6664 , 2 ,14 ,e2e6 , 1 ,15 
40b6 , 2 ,14 ,73da , 1 ,15 ,0578 , 1 ,15 ,0182 , 1 ,15 ,a02a , 2 ,14 ,70a0 , 1 ,15 ,4669 , 3 ,13 ,6ee8 , 1 ,15 
8b95 , 2 ,14 ,62be , 2 ,14 ,4b53 , 2 ,14 ,f75c , 1 ,15 ,31aa , 1 ,15 ,85e8 , 1 ,15 ,0362 , 1 ,15 ,e848 , 1 ,15 
5234 , 1 ,15 ,2220 , 1 ,15 ,b3e8 , 1 ,15 ,45fd , 2 ,14 ,edee , 1 ,15 ,47ea , 1 ,15 ,7986 , 2 ,14 ,b457 , 2 ,14 
1b38 , 1 ,15 ,8264 , 1 ,15 ,d71e , 1 ,15 ,42f0 , 1 ,15 ,4610 , 1 ,15 ,bb40 , 1 ,15 ,aef4 , 1 ,15 ,52a8 , 1 ,15 
ff66 , 1 ,15 ,0ff2 , 1 ,15 ,d35a , 1 ,15 ,4e36 , 1 ,15 ,33c4 , 1 ,15 ,2ae4 , 1 ,15 ,64b5 , 2 ,14 ,21e8 , 1 ,15 
a6a2 , 2 ,14 ,4485 , 3 ,13 ,ce0e , 1 ,15 ,4513 , 2 ,14 ,c788 , 1 ,15 ,5d0b , 2 ,14 ,4e92 , 1 ,15 ,2990 , 1 ,15 
b91d , 3 ,13 ,b7a5 , 2 ,14 ,a0d6 , 1 ,15 ,4fcc , 1 ,15 ,777e , 2 ,14 ,8c5f , 2 ,14 ,be23 , 2 ,14 ,4698 , 2 ,14 
904a , 1 ,15 ,0b62 , 1 ,15 ,5477 , 2 ,14 ,fcb2 , 1 ,15 ,0752 , 1 ,15 ,b3cb , 2 ,14 ,a3b4 , 1 ,15 ,8b50 , 1 ,15 
441c , 1 ,15 ,b9e0 , 1 ,15 ,3002 , 1 ,15 ,c8a2 , 1 ,15 ,560f , 3 ,13 ,b969 , 3 ,13 ,e5a0 , 1 ,15 ,9dce , 1 ,15 
1666 , 1 ,15 ,83d2 , 1 ,15 ,e56c , 1 ,15 ,5e67 , 2 ,14 ,bae2 , 2 ,14 ,a4fa , 1 ,15 ,4229 , 2 ,14 ,75a2 , 1 ,15 
302e , 1 ,15 ,2004 , 1 ,15 ,aac6 , 2 ,14 ,577c , 1 ,15 ,a27c , 1 ,15 ,8ac8 , 1 ,15 ,6f30 , 1 ,15 ,5acc , 1 ,15 
9af8 , 2 ,14 ,63ca , 1 ,15 ,4146 , 1 ,15 ,d22c , 1 ,15 ,8ff4 , 1 ,15 ,e124 , 1 ,15 ,2a36 , 1 ,15 ,c9ec , 1 ,15 
bd34 , 1 ,15 ,5a6e , 1 ,15 ,b394 , 2 ,14 ,2b7a , 1 ,15 ,c84a , 1 ,15 ,85ee , 2 ,14 ,58f8 , 1 ,15 ,55a3 , 2 ,14 
ca98 , 1 ,15 ,7dbd , 2 ,14 ,b316 , 1 ,15 ,9642 , 3 ,13 ,b6bb , 2 ,14 ,0f4a , 1 ,15 ,5458 , 3 ,13 ,d070 , 1 ,15 
93bc , 1 ,15 ,3d00 , 1 ,15 ,5640 , 1 ,15 ,46ab , 2 ,14 ,9996 , 1 ,15 ,46e8 , 1 ,15 ,3284 , 1 ,15 ,a3f5 , 2 ,14 
8c7c , 1 ,15 ,ab4c , 1 ,15 ,bfe8 , 2 ,14 ,a538 , 1 ,15 ,b200 , 1 ,15 ,b2a7 , 2 ,14 ,e434 , 1 ,15 ,b304 , 1 ,15 
50e9 , 2 ,14 ,bd92 , 3 ,13 ,7516 , 1 ,15 ,434a , 1 ,15 ,b754 , 1 ,15 ,3f02 , 1 ,15 ,5202 , 1 ,15 ,4507 , 2 ,14 
3c36 , 1 ,15 ,bfdd , 3 ,13 ,53f6 , 1 ,15 ,9926 , 1 ,15 ,48e4 , 1 ,15 ,37cc , 1 ,15 ,32b0 , 1 ,15 ,ff52 , 1 ,15 
73f6 , 1 ,15 ,e160 , 1 ,15 ,6dac , 1 ,15 ,902e , 1 ,15 ,bf20 , 1 ,15 ,33b0 , 1 ,15 ,9f24 , 1 ,15 ,f718 , 1 ,15 
95bb , 2 ,14 ,65ae , 1 ,15 ,8d8c , 2 ,14 ,542f , 2 ,14 ,c4ee , 1 ,15 ,4c18 , 1 ,15 ,ed6a , 1 ,15 ,9962 , 2 ,14 
46d8 , 1 ,15 ,fb00 , 1 ,15 ,1f2e , 1 ,15 ,804e , 2 ,14 ,ed90 , 1 ,15 ,1942 , 1 ,15 ,a5d8 , 1 ,15 ,4c58 , 2 ,14 
57c4 , 2 ,14 ,21c8 , 1 ,15 ,634e , 2 ,14 ,50e6 , 1 ,15 ,51e3 , 2 ,14 ,fe3a , 1 ,15 ,89e0 , 1 ,15 ,e1e2 , 1 ,15 
f0f4 , 1 ,15 ,4632 , 1 ,15 ,e704 , 1 ,15 ,72a8 , 1 ,15 ,6202 , 1 ,15 ,df88 , 1 ,15 ,de38 , 1 ,15 ,f1ec , 1 ,15 
4732 , 1 ,15 ,58e5 , 2 ,14 ,b2b7 , 2 ,14 ,249e , 1 ,15 ,36ea , 1 ,15 ,1c26 , 1 ,15 ,9389 , 2 ,14 ,019a , 1 ,15 
a846 , 2 ,14 ,a655 , 2 ,14 ,0f30 , 1 ,15 ,43ae , 2 ,14 ,8e51 , 2 ,14 ,afe9 , 2 ,14 ,9346 , 1 ,15 ,88a8 , 2 ,14 
49b2 , 1 ,15 ,a3fc , 1 ,15 ,eb0e , 1 ,15 ,b5e4 , 2 ,14 ,ed08 , 1 ,15 ,9dfb , 2 ,14 ,853c , 1 ,15 ,4370 , 1 ,15 
62ec , 1 ,15 ,370a , 1 ,15 ,989a , 1 ,15 ,e178 , 1 ,15 ,3fac , 1 ,15 ,550a , 1 ,15 ,a365 , 2 ,14 ,11e8 , 1 ,15 
32ee , 1 ,15 ,1b14 , 1 ,15 ,c312 , 1 ,15 ,529a , 2 ,14 ,ed1a , 1 ,15 ,6eb2 , 1 ,15 ,e4c8 , 1 ,15 ,4363 , 2 ,14 
1dc0 , 1 ,15 ,feb6 , 1 ,15 ,dcb8 , 1 ,15 ,a7ce , 1 ,15 ,bee2 , 1 ,15 ,0f34 , 1 ,15 ,553b , 2 ,14 ,8ec3 , 2 ,14 
bda4 , 1 ,15 ,9710 , 2 ,14 ,c432 , 1 ,15 ,91a0 , 1 ,15 ,4fd0 , 1 ,15 ,f800 , 1 ,15 ,590a , 2 ,14 ,2814 , 1 ,15 
b138 , 1 ,15 ,af72 , 2 ,14 ,35ba , 1 ,15 ,f916 , 1 ,15 ,598c , 2 ,14 ,d43c , 1 ,15 ,e048 , 1 ,15 ,ab13 , 2 ,14 
23be , 1 ,15 ,d9d0 , 1 ,15 ,65f4 , 1 ,15 ,aa64 , 2 ,14 ,038e , 1 ,15 ,5b9d , 2 ,14 ,a849 , 2 ,14 ,9a58 , 1 ,15 
1382 , 1 ,15 ,c45e , 1 ,15 ,6eae , 1 ,15 ,5fb8 , 1 ,15 ,09da , 1 ,15 ,30fc , 1 ,15 ,bb0e , 2 ,14 ,7820 , 2 ,14 
fad0 , 1 ,15 ,4244 , 1 ,15 ,5961 , 2 ,14 ,91fc , 1 ,15 ,ce98 , 1 ,15 ,776e , 1 ,15 ,8cc1 , 2 ,14 ,5703 , 2 ,14 
6db8 , 1 ,15 ,3f08 , 1 ,15 ,34d2 , 1 ,15 ,bf0b , 2 ,14 ,b90b , 2 ,14 ,6770 , 1 ,15 ,e468 , 1 ,15 ,c548 , 1 ,15 
4474 , 2 ,14 ,bbae , 1 ,15 ,a780 , 1 ,15 ,1e00 , 1 ,15 ,a1c6 , 2 ,14 ,bdaa , 1 ,15 ,3512 , 1 ,15 ,04be , 1 ,15 
ca42 , 1 ,15 ,a0e6 , 2 ,14 ,edb6 , 1 ,15 ,1090 , 1 ,15 ,e554 , 1 ,15 ,5614 , 1 ,15 ,50a6 , 3 ,13 ,8da2 , 2 ,14 
9f0e , 2 ,14 ,9c3e , 1 ,15 ,abda , 1 ,15 ,732a , 1 ,15 ,d37a , 1 ,15 ,6a70 , 1 ,15 ,53f6 , 2 ,14 ,bd4b , 2 ,14 
c52e , 1 ,15 ,5838 , 2 ,14 ,ec28 , 1 ,15 ,90a4 , 1 ,15 ,1486 , 1 ,15 ,e9ec , 1 ,15 ,2720 , 1 ,15 ,4023 , 3 ,13 
7610 , 1 ,15 ,cdf6 , 1 ,15 ,7387 , 2 ,14 ,0406 , 1 ,15 ,5958 , 1 ,15 ,cbe8 , 1 ,15 ,110e , 1 ,15 ,4d0b , 2 ,14 
4660 , 3 ,13 ,b560 , 2 ,14 ,4229 , 2 ,14 ,cee2 , 1 ,15 ,9cba , 2 ,14 ,4a0e , 1 ,15 ,6170 , 1 ,15 ,a764 , 1 ,15 
2b38 , 1 ,15 ,d70e , 1 ,15 ,1652 , 1 ,15 ,5ab6 , 2 ,14 ,1c34 , 1 ,15 ,4de6 , 1 ,15 ,500e , 1 ,15 ,f7a2 , 1 ,15 
a346 , 1 ,15 ,42ca , 1 ,15 ,89d9 , 2 ,14 ,ef48 , 1 ,15 ,4a20 , 1 ,15 ,5c7c , 2 ,14 ,0a5a , 1 ,15 ,9e2a , 1 ,15 
a57e , 1 ,15 ,bf92 , 2 ,14 ,b55a , 1 ,15 ,2588 , 1 ,15 ,cfae , 1 ,15 ,22aa , 1 ,15 ,6ea7 , 2 ,14 ,e468 , 1 ,15 
60d8 , 1 ,15 ,b1d7 , 3 ,13 ,720c , 1 ,15 ,1c7e , 1 ,15 ,d73c , 1 ,15 ,0878 , 1 ,15 ,b900 , 1 ,15 ,a3e6 , 2 ,14 
2350 , 1 ,15 ,331c , 1 ,15 ,b597 , 3 ,13 ,8194 , 1 ,15 ,e7c4 , 1 ,15 ,7992 , 2 ,14 ,b588 , 1 ,15 ,9338 , 1 ,15 
4efc , 1 ,15 ,406b , 2 ,14 ,723d , 2 ,14 ,be41 , 2 ,14 ,0ca8 , 1 ,15 ,6802 , 1 ,15 ,29fe , 1 ,15 ,55d4 , 1 ,15 
